Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete
6620fd112e2a6aaddd6ba669,Authorized user/Strona główna,https://trello.com/c/as0UNp1t/25-authorized-user-strona-g%C5%82%C3%B3wna,,,"atychmanowicz, beatakoodziejszymanska, olgafurdyna",,4,"https://trello.com/1/cards/6620fd112e2a6aaddd6ba669/attachments/66217dd5f2907ea749379153/download/Screenshot_(44).png, https://trello.com/1/cards/6620fd112e2a6aaddd6ba669/attachments/66217dd5d6b424f4d6652c7a/download/Screenshot_(45).png, https://docs.google.com/spreadsheets/d/1_icQlyiWXtsaskRSQNdUDKF5gQixHHXv/edit?usp=drive_link&ouid=105555834875385111665&rtpof=true&sd=true, https://docs.google.com/spreadsheets/d/1mIzER6CI_uT97ocVC0I53SbyHzxixJMI/edit?usp=drive_link&ouid=105555834875385111665&rtpof=true&sd=true",6,6,0,4,2024-04-22T15:50:51.590Z,661ecbb3cd357d6a0e3a8b1d,DONE,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
66229ed8f6e9b0213579f6e4,Opracowanie zespołowego logo,https://trello.com/c/YDjBNgTW/48-opracowanie-zespo%C5%82owego-logo,![Logo\_2.jpg](https://trello.com/1/cards/66229ed8f6e9b0213579f6e4/attachments/66251ba0918ca6cf32198070/download/Logo_2.jpg),,atychmanowicz,,3,"https://trello.com/1/cards/66229ed8f6e9b0213579f6e4/attachments/66251ba0918ca6cf32198070/download/Logo_2.jpg, https://trello.com/1/cards/66229ed8f6e9b0213579f6e4/attachments/66251bc6a24eabd318f6e47e/download/Logo_1.jpg, https://trello.com/1/cards/66229ed8f6e9b0213579f6e4/attachments/6626772682686ed9a2dbbfec/download/LOGO_MoD.jpg",0,0,0,9,2024-04-22T17:05:31.482Z,661ecbb3cd357d6a0e3a8b1d,DONE,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
662102d7246638a9c85d5a9b,SWAGGER- ingredients,https://trello.com/c/LXTOBE3W/36-swagger-ingredients,,,"atychmanowicz, krystiankiljanski",,0,,1,1,0,1,2024-04-20T17:32:22.028Z,6623fc1e89be61f8dfc8f6e3,DONE - Swagger,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
662102f8894cbb88a759afd8,SWAGGER favorites,https://trello.com/c/WFBbkIyt/40-swagger-favorites,,,"jakubkizyma, jakubkokoszkiewicz, kasiak92, krystiankiljanski",,0,,5,5,0,6,2024-04-21T15:34:11.783Z,6623fc1e89be61f8dfc8f6e3,DONE - Swagger,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
66210300719d7b2bbd5c1cda,SWAGGER subscribe,https://trello.com/c/uGTqMzpg/41-swagger-subscribe,,,"atychmanowicz, jakubkokoszkiewicz",,0,,1,1,0,3,2024-04-20T17:32:28.115Z,6623fc1e89be61f8dfc8f6e3,DONE - Swagger,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
662102e92722d8d740522351,SWAGGER shopping list,https://trello.com/c/OCLHWZSz/38-swagger-shopping-list,,,"atychmanowicz, krystiankiljanski",,0,,3,3,0,1,2024-04-20T17:32:43.571Z,6623fc1e89be61f8dfc8f6e3,DONE - Swagger,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
662102f4ba87f419b931fe7c,SWAGGER Search,https://trello.com/c/wmUXCQZM/39-swagger-search,,,"beniaminsobczyk1, kasiak92, krystiankiljanski",,0,,1,1,0,5,2024-04-21T14:45:22.329Z,6623fc1e89be61f8dfc8f6e3,DONE - Swagger,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
662102cd2d70570736309045,SWAGGER Recipes,https://trello.com/c/maKm765T/35-swagger-recipes,,,"atychmanowicz, krystiankiljanski",,0,,4,4,0,1,2024-04-20T17:32:48.816Z,6623fc1e89be61f8dfc8f6e3,DONE - Swagger,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
662102c8586c0e27e26b8521,SWAGGER - Authorization endpoints,https://trello.com/c/rsR6RslQ/34-swagger-authorization-endpoints,,,"atychmanowicz, krystiankiljanski",,0,,8,8,0,4,2024-04-20T17:32:54.027Z,6623fc1e89be61f8dfc8f6e3,DONE - Swagger,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
662102e049b665ed24b0be40,SWAGGER popular recipe,https://trello.com/c/TW1atEua/37-swagger-popular-recipe,,,"atychmanowicz, krystiankiljanski",,0,,1,1,0,1,2024-04-20T17:33:17.673Z,6623fc1e89be61f8dfc8f6e3,DONE - Swagger,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
6621030bbec89764d02b6e75,SWAGGER ownRecipes,https://trello.com/c/HUCkzCfG/42-swagger-ownrecipes,,,beniaminsobczyk1,,0,,3,3,0,5,2024-04-22T14:41:19.880Z,6623fc1e89be61f8dfc8f6e3,DONE - Swagger,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
662266b9924e55ea23a1c883,Frontend,https://trello.com/c/sqaJ9YbP/47-frontend,Bug reports dodane do głównego pliku,,"adamjaneta1, beatakoodziejszymanska, joannabeszynska",,0,,1,1,0,12,2024-04-22T15:33:47.282Z,6623fc1661b212f5908688ec,DONE - Frontend,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
662596fb189019ebb6d1dd89,Bug report,https://trello.com/c/mkOnxzJU/55-bug-report,,,"adamjaneta1, atychmanowicz, beatakoodziejszymanska",,0,,0,0,0,3,2024-04-22T15:34:21.538Z,6623fc1661b212f5908688ec,DONE - Frontend,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
